seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr5,215164,215205,42,-,454,LS-13,pin32,3,hg38,LS-13-0,D-1,-1,-0,chr5-215205,TRUE,CCDC127,-,FALSE,TRUE,0,PDCD6,-56414,+,TLX3,-171094077,+,TCELL
chr11,269175,269351,177,-,454,LS-13,pin32,8,hg38,LS-13-0,D-1,-1,-0,chr11-269351,FALSE,NLRP6,+,FALSE,FALSE,-9217,PGGHG,-19785,+,NUP98,3405657,-,TCELL
chr9,272715,273157,443,-,454,LS-13,pin32,2,hg38,LS-13-0,D-1,-1,-0,chr9-273157,TRUE,DOCK8,+,FALSE,FALSE,0,JAK2,-4711927,+,JAK2,-4711927,+,TCELL
chr2,317496,317560,65,-,454,LS-13,pin32,4,hg38,LS-13-0,D-1,-1,-0,chr2-317560,TRUE,LINC01865,+,FALSE,FALSE,0,SOX11,-5375105,+,BCL11A,60133605,-,TCELL
chr5,374387,374879,493,+,454,LS-13,pin32,7,hg38,LS-13-0,D-1,-1,-0,chr5+374387,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,59412,+,TLX3,-170934895,+,TCELL
chr5,380138,380526,389,+,454,LS-13,pin32,12,hg38,LS-13-0,D-1,-1,-0,chr5+380138,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,65163,+,TLX3,-170929144,+,TCELL
chr6,390352,390392,41,-,454,LS-13,pin32,1,hg38,LS-13-0,D-1,-1,-0,chr6-390392,FALSE,IRF4,+,FALSE,FALSE,-1345,IRF4,-1345,+,BRD2,-32578266,+,TCELL
chr5,403257,403315,59,+,454,LS-13,pin32,7,hg38,LS-13-0,D-1,-1,-0,chr5+403257,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,88282,+,TLX3,-170906025,+,TCELL
chr2,430202,430284,83,+,454,LS-13,pin32,1,hg38,LS-13-0,D-1,-1,-0,chr2+430202,FALSE,LINC01874,-,FALSE,FALSE,60743,SOX11,-5262463,+,BCL11A,60020963,-,TCELL
chr6,448145,448278,134,-,454,LS-13,pin32,23,hg38,LS-13-0,D-1,-1,-0,chr6-448278,FALSE,IRF4,+,FALSE,FALSE,36834,IRF4,36834,+,BRD2,-32520380,+,TCELL
chr6,508795,509257,463,+,454,LS-13,pin32,2,hg38,LS-13-0,D-1,-1,-0,chr6+508795,TRUE,EXOC2,-,FALSE,FALSE,-0,IRF4,97351,+,BRD2,-32459863,+,TCELL
chr6,547406,547627,222,+,454,LS-13,pin32,3,hg38,LS-13-0,D-1,-1,-0,chr6+547406,TRUE,EXOC2,-,FALSE,FALSE,-0,IRF4,135962,+,BRD2,-32421252,+,TCELL
chr7,617559,617608,50,+,454,LS-13,pin32,6,hg38,LS-13-0,D-1,-1,-0,chr7+617559,TRUE,PRKAR1B,-,FALSE,FALSE,-0,PDGFA,-97714,-,None.found,Inf,None.found,TCELL
chr16,691896,691960,65,+,454,LS-13,pin32,8,hg38,LS-13-0,D-1,-1,-0,chr16+691896,FALSE,FBXL16,-,FALSE,FALSE,602,LMF1,161736,-,None.found,Inf,None.found,TCELL
chr7,726207,726495,289,-,454,LS-13,pin32,2,hg38,LS-13-0,D-1,-1,-0,chr7-726495,TRUE,PRKAR1B,-,FALSE,TRUE,0,PDGFA,-206650,-,None.found,Inf,None.found,TCELL
chr12,727976,728148,173,-,454,LS-13,pin32,3,hg38,LS-13-0,D-1,-1,-0,chr12-728148,FALSE,WNK1,+,FALSE,FALSE,-24773,RAD52,183586,-,CCND2,-3545586,+,TCELL
chr12,948685,948907,223,-,454,LS-13,pin32,6,hg38,LS-13-0,D-1,-1,-0,chr12-948907,TRUE,RAD52,-,FALSE,TRUE,-0,RAD52,-0,-,CCND2,-3324827,+,TCELL
chr19,952291,952410,120,-,454,LS-13,pin32,10,hg38,LS-13-0,D-1,-1,-0,chr19-952410,TRUE,ARID3A,+,FALSE,FALSE,-0,PTBP1,140082,+,TCF3,656872,-,TCELL
chr2,985571,985619,49,-,454,LS-13,pin32,3,hg38,LS-13-0,D-1,-1,-0,chr2-985619,TRUE,SNTG2,+,FALSE,FALSE,0,SOX11,-4707046,+,BCL11A,59465546,-,TCELL
chr12,990461,990529,69,+,454,LS-13,pin32,1,hg38,LS-13-0,D-1,-1,-0,chr12+990461,FALSE,RAD52,-,FALSE,FALSE,-419,RAD52,-419,-,CCND2,-3283273,+,TCELL
chr7,1192007,1192395,389,+,454,LS-13,pin32,4,hg38,LS-13-0,D-1,-1,-0,chr7+1192007,FALSE,LOC101927021,+,FALSE,TRUE,26048,GPER1,98191,+,None.found,Inf,None.found,TCELL
chr4,1192393,1192435,43,-,454,LS-13,pin32,1,hg38,LS-13-0,D-1,-1,-0,chr4-1192435,TRUE,SPON2,-,FALSE,TRUE,0,GAK,-260044,-,RAP1GDS1,-97068939,+,TCELL
chr1,1214705,1214933,229,+,454,LS-13,pin32,3,hg38,LS-13-0,D-1,-1,-0,chr1+1214705,FALSE,TNFRSF4,-,FALSE,FALSE,-536,MIB2,-400708,+,LCK,-31036532,+,TCELL
chr1,1231168,1231392,225,+,454,LS-13,pin32,7,hg38,LS-13-0,D-1,-1,-0,chr1+1231168,TRUE,SDF4,-,FALSE,FALSE,0,MIB2,-384245,+,LCK,-31020069,+,TCELL
