seqnames,start,end,width,strand,cellType,dataSource,GTSP,patient,reads,refGenome,timePoint,timePointDays,timePointMonths,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,101128230,101128230,1,-,TCELL,454,LS-13,pin32,2,hg38,D-1,-1,-0,chr1-101128230,1,0.021872265966754158,FALSE,LOC102606465,+,FALSE,FALSE,40850,COL11A1,1748235,-,STIL,-53814082,-,9144,0.021872265966754158,1759,yes,LOC102606465 ,"LOC102606465 
chr1-101128230"
chr1,101197285,101197285,1,-,TCELL,454,LS-13,pin32,22,hg38,D-1,-1,-0,chr1-101197285,1,0.2405949256342957,FALSE,LOC101928370,-,FALSE,TRUE,37586,COL11A1,1679180,-,STIL,-53883137,-,9144,0.2405949256342957,1759,yes,LOC101928370 ,"LOC101928370 
chr1-101197285"
chr1,101228556,101228556,1,-,TCELL,454,LS-13,pin32,6,hg38,D-1,-1,-0,chr1-101228556,1,0.06561679790026247,FALSE,LOC101928370,-,FALSE,TRUE,6315,COL11A1,1647909,-,STIL,-53914408,-,9144,0.06561679790026247,1759,yes,LOC101928370 ,"LOC101928370 
chr1-101228556"
chr1,109820737,109820737,1,-,TCELL,454,LS-13,pin32,6,hg38,D-1,-1,-0,chr1-109820737,1,0.06561679790026247,FALSE,EPS8L3,-,FALSE,TRUE,-56714,CSF1,-89872,+,PBX1,-54738621,+,9144,0.06561679790026247,1759,yes,EPS8L3 ,"EPS8L3 
chr1-109820737"
chr1,109897436,109897436,1,-,TCELL,454,LS-13,pin32,5,hg38,D-1,-1,-0,chr1-109897436,1,0.05468066491688539,FALSE,CSF1,+,FALSE,FALSE,-13173,CSF1,-13173,+,PBX1,-54661922,+,9144,0.05468066491688539,1759,yes,CSF1 ~,"CSF1 ~
chr1-109897436"
chr1,110634676,110634676,1,-,TCELL,454,LS-13,pin32,4,hg38,D-1,-1,-0,chr1-110634676,1,0.043744531933508315,FALSE,KCNA2,-,FALSE,TRUE,-3201,CD53,-236521,+,PBX1,-53924682,+,9144,0.043744531933508315,1759,yes,KCNA2 ,"KCNA2 
chr1-110634676"
chr1,110635786,110635786,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-110635786,1,0.010936132983377079,FALSE,KCNA2,-,FALSE,TRUE,-4311,CD53,-235411,+,PBX1,-53923572,+,9144,0.010936132983377079,1759,yes,KCNA2 ,"KCNA2 
chr1-110635786"
chr1,111199707,111199707,1,-,TCELL,454,LS-13,pin32,2,hg38,D-1,-1,-0,chr1-111199707,1,0.021872265966754158,TRUE,DENND2D,-,TRUE,TRUE,0,WDR77,240181,-,PBX1,-53359651,+,9144,0.021872265966754158,1759,yes,DENND2D *,"DENND2D *
chr1-111199707"
chr1,111601628,111601628,1,-,TCELL,454,LS-13,pin32,4,hg38,D-1,-1,-0,chr1-111601628,1,0.043744531933508315,TRUE,LINC01160,-,FALSE,TRUE,-0,RAP1A,-18153,+,PBX1,-52957730,+,9144,0.043744531933508315,1759,yes,LINC01160 *~,"LINC01160 *~
chr1-111601628"
chr1,113872906,113872906,1,-,TCELL,454,LS-13,pin32,5,hg38,D-1,-1,-0,chr1-113872906,1,0.05468066491688539,TRUE,AP4B1-AS1,+,FALSE,FALSE,-0,TRIM33,519869,-,PBX1,-50686452,+,9144,0.05468066491688539,1759,yes,AP4B1-AS1 *,"AP4B1-AS1 *
chr1-113872906"
chr1,116807077,116807077,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-116807077,1,0.010936132983377079,FALSE,CD2,+,FALSE,FALSE,37847,VTCN1,336508,-,PBX1,-47752281,+,9144,0.010936132983377079,1759,yes,CD2 ,"CD2 
chr1-116807077"
chr1,12617630,12617630,1,-,TCELL,454,LS-13,pin32,2,hg38,D-1,-1,-0,chr1-12617630,1,0.021872265966754158,TRUE,DHRS3,-,TRUE,TRUE,0,DHRS3,0,-,LCK,-19633607,+,9144,0.021872265966754158,1759,yes,DHRS3 *~,"DHRS3 *~
chr1-12617630"
chr1,13728493,13728493,1,-,TCELL,454,LS-13,pin32,3,hg38,D-1,-1,-0,chr1-13728493,1,0.03280839895013123,TRUE,PRDM2,+,FALSE,FALSE,0,PRDM2,0,+,LCK,-18522744,+,9144,0.03280839895013123,1759,yes,PRDM2 *~,"PRDM2 *~
chr1-13728493"
chr1,145930660,145930660,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-145930660,1,0.010936132983377079,TRUE,LIX1L-AS1,+,FALSE,FALSE,0,PIAS3,-71578,-,PBX1,-18628698,+,9144,0.010936132983377079,1759,yes,LIX1L-AS1 *,"LIX1L-AS1 *
chr1-145930660"
chr1,147045835,147045835,1,-,TCELL,454,LS-13,pin32,10,hg38,D-1,-1,-0,chr1-147045835,1,0.10936132983377078,FALSE,LOC728989,-,FALSE,TRUE,-2795,BCL9,-495664,+,PBX1,-17513523,+,9144,0.10936132983377078,1759,yes,LOC728989 ,"LOC728989 
chr1-147045835"
chr1,156101251,156101251,1,-,TCELL,454,LS-13,pin32,3,hg38,D-1,-1,-0,chr1-156101251,1,0.03280839895013123,TRUE,LMNA,+,FALSE,FALSE,0,ARHGEF2,-121690,-,PBX1,-8458107,+,9144,0.03280839895013123,1759,yes,LMNA *,"LMNA *
chr1-156101251"
chr1,156283745,156283745,1,-,TCELL,454,LS-13,pin32,53,hg38,D-1,-1,-0,chr1-156283745,1,0.5796150481189851,TRUE,"SMG5,TMEM79","-,+",FALSE,FALSE,0,RHBG,-85442,+,PBX1,-8275613,+,9144,0.5796150481189851,1759,yes,"SMG5,TMEM79 *","SMG5,TMEM79 *
chr1-156283745"
chr1,156742769,156742769,1,-,TCELL,454,LS-13,pin32,3,hg38,D-1,-1,-0,chr1-156742769,1,0.03280839895013123,TRUE,HDGF,-,TRUE,TRUE,-0,PRCC,-24711,+,PBX1,-7816589,+,9144,0.03280839895013123,1759,yes,HDGF *~,"HDGF *~
chr1-156742769"
chr1,15846638,15846638,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-15846638,1,0.010936132983377079,TRUE,FLJ37453,-,FALSE,TRUE,0,EPHA2,277697,-,LCK,-16404599,+,9144,0.010936132983377079,1759,yes,FLJ37453 *,"FLJ37453 *
chr1-15846638"
chr1,158933209,158933209,1,-,TCELL,454,LS-13,pin32,4,hg38,D-1,-1,-0,chr1-158933209,1,0.043744531933508315,TRUE,PYHIN1,+,FALSE,FALSE,0,IGSF8,1158128,-,PBX1,-5626149,+,9144,0.043744531933508315,1759,yes,PYHIN1 *,"PYHIN1 *
chr1-158933209"
chr1,160490264,160490264,1,-,TCELL,454,LS-13,pin32,3,hg38,D-1,-1,-0,chr1-160490264,1,0.03280839895013123,TRUE,SLAMF6,-,FALSE,TRUE,-0,SLAMF6,-0,-,PBX1,-4069094,+,9144,0.03280839895013123,1759,yes,SLAMF6 *~,"SLAMF6 *~
chr1-160490264"
chr1,166839183,166839183,1,-,TCELL,454,LS-13,pin32,6,hg38,D-1,-1,-0,chr1-166839183,1,0.06561679790026247,FALSE,POGK,+,FALSE,FALSE,-219,GPA33,213651,-,PBX1,1953135,+,9144,0.06561679790026247,1759,yes,POGK ,"POGK 
chr1-166839183"
chr1,167938539,167938539,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-167938539,1,0.010936132983377079,TRUE,DCAF6,+,FALSE,FALSE,0,GPR161,141001,-,PBX1,3052491,+,9144,0.010936132983377079,1759,yes,DCAF6 *,"DCAF6 *
chr1-167938539"
chr1,168518917,168518917,1,-,TCELL,454,LS-13,pin32,3,hg38,D-1,-1,-0,chr1-168518917,1,0.03280839895013123,FALSE,XCL2,-,FALSE,TRUE,21846,DPT,176538,-,PBX1,3632869,+,9144,0.03280839895013123,1759,yes,XCL2 ,"XCL2 
chr1-168518917"
chr1,169371315,169371315,1,-,TCELL,454,LS-13,pin32,1,hg38,D-1,-1,-0,chr1-169371315,1,0.010936132983377079,TRUE,BLZF1,+,FALSE,FALSE,0,SELE,351323,-,PBX1,4485267,+,9144,0.010936132983377079,1759,yes,BLZF1 *,"BLZF1 *
chr1-169371315"
