cellType,timePoint,dataSource,posidLabel,totalCells,timePointDays,relAbund,patient
PBMC,D0,Illumina,LowAbund,71,0,88.73239436619718,pin22
PBMC,D0,Illumina,"ECE1 *
chr1+21293104",71,0,2.8169014084507045,pin22
PBMC,D0,Illumina,"TMTC3 
chr12-88301484",71,0,2.8169014084507045,pin22
PBMC,D0,Illumina,"RPTOR *
chr17-80877261",71,0,2.8169014084507045,pin22
PBMC,D0,Illumina,"ASXL2 *
chr2+25797064",71,0,2.8169014084507045,pin22
PBMC,D1,Illumina,LowAbund,15,1,100,pin22
PBMC,W2,Illumina,LowAbund,91,14,96.90721649484536,pin22
PBMC,W2,Illumina,"NMBR 
chr6+141483349",91,14,3.0927835051546393,pin22
PBMC,W8,Illumina,LowAbund,133,56,86.12716763005781,pin22
PBMC,W8,Illumina,"PSMF1,LOC105372493 *
chr20-1117889",133,56,4.624277456647398,pin22
PBMC,W8,Illumina,"MIR1587 
chrX+39859142",133,56,3.4682080924855487,pin22
PBMC,W8,Illumina,"HIVEP3 *~
chr1-41656672",133,56,2.312138728323699,pin22
PBMC,W8,Illumina,"SLC4A1 ~
chr17-44246446",133,56,1.7341040462427744,pin22
PBMC,W8,Illumina,"SEPT9 *~
chr17+77439110",133,56,1.7341040462427744,pin22
PBMC,Y15,Illumina,LowAbund,9,5475,100,pin22
PBMC,Y4,Illumina,LowAbund,12,1460,100,pin22
PBMC,Y8,Illumina,LowAbund,23,2920,100,pin22
TCELL,M2,454,LowAbund,14,61,27.165499447106527,pin22
TCELL,M2,454,"ABL2 *~
chr1-179144976",14,61,0.036859565057132324,pin22
TCELL,M2,454,"DENND2D 
chr1+111213595",14,61,0.5160339107998526,pin22
TCELL,M2,454,"GS1-279B7.1 
chr1+185445111",14,61,0.11057869517139698,pin22
TCELL,M2,454,"PRF1 ~
chr10-70587116",14,61,11.72134168816808,pin22
TCELL,M2,454,"DUSP16 
chr12-12582047",14,61,3.133063029856248,pin22
TCELL,M2,454,"VEZT *
chr12+95270133",14,61,8.698857353483229,pin22
TCELL,M2,454,"ATP8A2 *
chr13+25873434",14,61,1.4006634721710285,pin22
TCELL,M2,454,"LCP1 *~
chr13+46177189",14,61,1.2900847769996313,pin22
TCELL,M2,454,"FSIP1 *~
chr15-39626525",14,61,22.33689642462219,pin22
TCELL,M2,454,"TSPOAP1-AS1 *~
chr17-58343941",14,61,23.59012163656469,pin22
