cellType,timePoint,dataSource,posidLabel,totalCells,timePointDays,relAbund,patient
PBMC,D1,Illumina,LowAbund,34,1,88.23529411764706,pin25
PBMC,D1,Illumina,"LOC105376360 ~!
chr10-3761428",34,1,11.76470588235294,pin25
PBMC,W2,Illumina,LowAbund,454,14,99.12087912087912,pin25
PBMC,W2,Illumina,"LOC100130476 *~
chr6-137861173",454,14,0.8791208791208791,pin25
PBMC,W8,Illumina,LowAbund,455,56,97.17391304347827,pin25
PBMC,W8,Illumina,"DNAJC12 *
chr10+67834267",455,56,0.8695652173913043,pin25
PBMC,W8,Illumina,"LOC100996583 *~
chr1-2579704",455,56,0.6521739130434783,pin25
PBMC,W8,Illumina,"AIP *
chr11-67488563",455,56,0.6521739130434783,pin25
PBMC,W8,Illumina,"LINC02156 
chr12-47392606",455,56,0.6521739130434783,pin25
PBMC,Y15,Illumina,LowAbund,150,5475,97.43589743589743,pin25
PBMC,Y15,Illumina,"HEMK1 
chr3+50591224",150,5475,2.564102564102564,pin25
PBMC,Y4,Illumina,LowAbund,101,1460,85.34482758620689,pin25
PBMC,Y4,Illumina,"MYO3B *
chr2-170366539",101,1460,6.896551724137931,pin25
PBMC,Y4,Illumina,"CBX1 
chr17-48104296",101,1460,4.310344827586207,pin25
PBMC,Y4,Illumina,"ZNF184 
chr6+27473756",101,1460,3.4482758620689653,pin25
PBMC,Y8,Illumina,LowAbund,87,2920,100,pin25
TCELL,D-1,454,LowAbund,1397,-1,99.72046216921356,pin25
TCELL,D-1,454,"CDC14A *
chr1-100444631",1397,-1,0.07454342154304883,pin25
TCELL,D-1,454,"LOC102606465 
chr1-101127822",1397,-1,0.018635855385762207,pin25
TCELL,D-1,454,"LOC101928370 
chr1-101176523",1397,-1,0.018635855385762207,pin25
TCELL,D-1,454,"EPS8L3 
chr1-109791681",1397,-1,0.018635855385762207,pin25
TCELL,D-1,454,"ST7L *
chr1-112619328",1397,-1,0.09317927692881103,pin25
TCELL,D-1,454,"ATP1A1 
chr1-116257351",1397,-1,0.05590756615728662,pin25
TCELL,Y8,454,LowAbund,24,2920,77.12098660429513,pin25
TCELL,Y8,454,"ASH1L *
chr1-155467167",24,2920,7.867318732723794,pin25
TCELL,Y8,454,"EED 
chr11+86204098",24,2920,8.866680842015736,pin25
TCELL,Y8,454,"CD27-AS1 *
chr12+6443387",24,2920,3.678503083138422,pin25
TCELL,Y8,454,"APBA2 *
chr15-28962323",24,2920,2.466510737826919,pin25
