seqnames,start,end,width,strand,cellType,dataSource,GTSP,patient,reads,refGenome,timePoint,timePointDays,timePointMonths,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,100444631,100444631,1,-,TCELL,454,LS-6,pin25,4,hg38,D-1,-1,-0,chr1-100444631,1,0.07454342154304883,TRUE,CDC14A,+,FALSE,FALSE,-0,COL11A1,2431834,-,STIL,-53130483,-,5366,0.07454342154304883,1397,yes,CDC14A *,"CDC14A *
chr1-100444631"
chr1,101127822,101127822,1,-,TCELL,454,LS-6,pin25,1,hg38,D-1,-1,-0,chr1-101127822,1,0.018635855385762207,FALSE,LOC102606465,+,FALSE,FALSE,40442,COL11A1,1748643,-,STIL,-53813674,-,5366,0.018635855385762207,1397,yes,LOC102606465 ,"LOC102606465 
chr1-101127822"
chr1,101176523,101176523,1,-,TCELL,454,LS-6,pin25,1,hg38,D-1,-1,-0,chr1-101176523,1,0.018635855385762207,FALSE,LOC101928370,-,FALSE,TRUE,58348,COL11A1,1699942,-,STIL,-53862375,-,5366,0.018635855385762207,1397,yes,LOC101928370 ,"LOC101928370 
chr1-101176523"
chr1,109791681,109791681,1,-,TCELL,454,LS-6,pin25,1,hg38,D-1,-1,-0,chr1-109791681,1,0.018635855385762207,FALSE,EPS8L3,-,FALSE,TRUE,-27658,GSTM1,97935,+,PBX1,-54767677,+,5366,0.018635855385762207,1397,yes,EPS8L3 ,"EPS8L3 
chr1-109791681"
chr1,112619328,112619328,1,-,TCELL,454,LS-6,pin25,5,hg38,D-1,-1,-0,chr1-112619328,1,0.09317927692881103,TRUE,ST7L,-,TRUE,TRUE,0,RHOC,81797,-,PBX1,-51940030,+,5366,0.09317927692881103,1397,yes,ST7L *,"ST7L *
chr1-112619328"
chr1,116257351,116257351,1,-,TCELL,454,LS-6,pin25,3,hg38,D-1,-1,-0,chr1-116257351,1,0.05590756615728662,FALSE,ATP1A1,+,FALSE,FALSE,-115820,VTCN1,886234,-,PBX1,-48302007,+,5366,0.05590756615728662,1397,yes,ATP1A1 ,"ATP1A1 
chr1-116257351"
chr1,116724298,116724298,1,-,TCELL,454,LS-6,pin25,2,hg38,D-1,-1,-0,chr1-116724298,1,0.03727171077152441,FALSE,C1orf137,+,FALSE,FALSE,17694,VTCN1,419287,-,PBX1,-47835060,+,5366,0.03727171077152441,1397,yes,C1orf137 ,"C1orf137 
chr1-116724298"
chr1,116739103,116739103,1,-,TCELL,454,LS-6,pin25,2,hg38,D-1,-1,-0,chr1-116739103,1,0.03727171077152441,FALSE,CD2,+,FALSE,FALSE,-15325,VTCN1,404482,-,PBX1,-47820255,+,5366,0.03727171077152441,1397,yes,CD2 ,"CD2 
chr1-116739103"
chr1,116824908,116824908,1,-,TCELL,454,LS-6,pin25,1,hg38,D-1,-1,-0,chr1-116824908,1,0.018635855385762207,FALSE,CD2,+,FALSE,FALSE,55678,VTCN1,318677,-,PBX1,-47734450,+,5366,0.018635855385762207,1397,yes,CD2 ,"CD2 
chr1-116824908"
chr1,13748683,13748683,1,-,TCELL,454,LS-6,pin25,2,hg38,D-1,-1,-0,chr1-13748683,1,0.03727171077152441,TRUE,PRDM2,+,FALSE,FALSE,0,PRDM2,0,+,LCK,-18502554,+,5366,0.03727171077152441,1397,yes,PRDM2 *~,"PRDM2 *~
chr1-13748683"
chr1,143798808,143798808,1,-,TCELL,454,LS-6,pin25,5,hg38,D-1,-1,-0,chr1-143798808,1,0.09317927692881103,FALSE,LOC388692,+,FALSE,FALSE,1700,PIAS3,2049712,-,PBX1,-20760550,+,5366,0.09317927692881103,1397,yes,LOC388692 ,"LOC388692 
chr1-143798808"
