seqnames,start,end,width,strand,cellType,dataSource,GTSP,patient,reads,refGenome,timePoint,timePointDays,timePointMonths,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,110874897,110874897,1,-,TCELL,454,LS-8,pin26,11,hg38,D-1,-1,-0,chr1-110874897,2,0.2188183807439825,TRUE,CD53,+,FALSE,FALSE,0,CD53,0,+,PBX1,-53684461,+,5027,0.2188183807439825,580,yes,CD53 *~,"CD53 *~
chr1-110874897"
chr1,12528803,12528803,1,-,TCELL,454,LS-8,pin26,1,hg38,D-1,-1,-0,chr1-12528803,1,0.019892580067634773,FALSE,VPS13D,+,FALSE,FALSE,16755,DHRS3,39105,-,LCK,-19722434,+,5027,0.019892580067634773,580,yes,VPS13D ~,"VPS13D ~
chr1-12528803"
chr1,150889889,150889889,1,-,TCELL,454,LS-8,pin26,4,hg38,D-1,-1,-0,chr1-150889889,1,0.07957032027053909,TRUE,CTXND2,+,FALSE,FALSE,0,ARNT,-13120,-,PBX1,-13669469,+,5027,0.07957032027053909,580,yes,CTXND2 *~,"CTXND2 *~
chr1-150889889"
chr1,154786094,154786094,1,-,TCELL,454,LS-8,pin26,21,hg38,D-1,-1,-0,chr1-154786094,2,0.41774418142033026,TRUE,KCNN3,-,FALSE,TRUE,0,SHC1,176202,-,PBX1,-9773264,+,5027,0.41774418142033026,580,yes,KCNN3 *,"KCNN3 *
chr1-154786094"
chr1,15962990,15962990,1,-,TCELL,454,LS-8,pin26,2,hg38,D-1,-1,-0,chr1-15962990,1,0.039785160135269546,TRUE,ZBTB17,-,FALSE,TRUE,0,EPHA2,161345,-,LCK,-16288247,+,5027,0.039785160135269546,580,yes,ZBTB17 *,"ZBTB17 *
chr1-15962990"
chr1,160453775,160453775,1,-,TCELL,454,LS-8,pin26,4,hg38,D-1,-1,-0,chr1-160453775,1,0.07957032027053909,FALSE,VANGL2,+,FALSE,FALSE,25096,SLAMF6,31253,-,PBX1,-4105583,+,5027,0.07957032027053909,580,yes,VANGL2 ~,"VANGL2 ~
chr1-160453775"
chr1,160856452,160856452,1,-,TCELL,454,LS-8,pin26,3,hg38,D-1,-1,-0,chr1-160856452,1,0.05967774020290431,TRUE,CD244,-,FALSE,TRUE,0,USF1,182797,-,PBX1,-3702906,+,5027,0.05967774020290431,580,yes,CD244 *,"CD244 *
chr1-160856452"
chr1,168575264,168575264,1,-,TCELL,454,LS-8,pin26,4,hg38,D-1,-1,-0,chr1-168575264,1,0.07957032027053909,FALSE,XCL1,+,FALSE,FALSE,-1207,DPT,120191,-,PBX1,3689216,+,5027,0.07957032027053909,580,yes,XCL1 ,"XCL1 
chr1-168575264"
chr1,171780666,171780666,1,-,TCELL,454,LS-8,pin26,157,hg38,D-1,-1,-0,chr1-171780666,1,3.1231350706186594,FALSE,METTL13,+,FALSE,FALSE,-953,PRRX1,1041265,+,PBX1,6894618,+,5027,3.1231350706186594,580,yes,METTL13 ,"METTL13 
chr1-171780666"
chr1,172700134,172700134,1,-,TCELL,454,LS-8,pin26,13,hg38,D-1,-1,-0,chr1-172700134,1,0.258603540879252,FALSE,FASLG,+,FALSE,FALSE,33260,TNFSF18,341084,-,PBX1,7814086,+,5027,0.258603540879252,580,yes,FASLG ,"FASLG 
chr1-172700134"
chr1,185440253,185440253,1,-,TCELL,454,LS-8,pin26,11,hg38,D-1,-1,-0,chr1-185440253,1,0.2188183807439825,FALSE,GS1-279B7.1,-,FALSE,TRUE,-105213,PRG4,-856018,+,PBX1,20554205,+,5027,0.2188183807439825,580,yes,GS1-279B7.1 ,"GS1-279B7.1 
chr1-185440253"
