seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr18,268929,269155,227,-,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chr18-269155,FALSE,THOC1,-,FALSE,TRUE,-1095,YES1,452435,-,BCL2,62854189,-,TCELL
chr10,1938810,1938854,45,-,454,LS-8,pin26,4,hg38,LS-8-0,D-1,-1,-0,chr10-1938854,FALSE,LINC00700,-,FALSE,TRUE,66617,ADARB2,-201377,-,KLF6,1837140,-,TCELL
chrY,2842596,2842622,27,-,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chrY-2842622,TRUE,RPS4Y1,+,FALSE,FALSE,0,P2RY8,-1305477,-,None.found,Inf,None.found,TCELL
chr6,3069610,3070105,496,-,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chr6-3070105,TRUE,RIPK1,+,FALSE,FALSE,0,SLC22A23,198866,-,BRD2,-29898553,+,TCELL
chr6,3069859,3070105,247,-,454,LS-8,pin26,10,hg38,LS-8-0,D-1,-1,-0,chr6-3070105,TRUE,RIPK1,+,FALSE,FALSE,0,SLC22A23,198866,-,BRD2,-29898553,+,TCELL
chrX,3706047,3706192,146,-,454,LS-8,pin26,5,hg38,LS-8-0,D-1,-1,-0,chrX-3706192,TRUE,PRKX,-,FALSE,TRUE,0,P2RY8,-2169047,-,MTCP1,151357840,-,TCELL
chr10,3872188,3872286,99,+,454,LS-8,pin26,6,hg38,LS-8-0,D-1,-1,-0,chr10+3872188,FALSE,LOC105376365,+,FALSE,TRUE,37459,KLF6,-86906,-,KLF6,-86906,-,TCELL
chr12,3988474,3988687,214,-,454,LS-8,pin26,9,hg38,LS-8-0,D-1,-1,-0,chr12-3988687,FALSE,PARP11,-,FALSE,TRUE,-115238,CCND2-AS1,260078,-,CCND2,-285047,+,TCELL
chr6,4442463,4442839,377,-,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr6-4442839,FALSE,LINC02533,+,FALSE,FALSE,-45957,PRPF4B,377855,+,BRD2,-28525819,+,TCELL
chr9,5585265,5585297,33,+,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr9+5585265,FALSE,PDCD1LG2,+,FALSE,TRUE,13982,PDCD1LG2,13982,+,JAK2,457081,+,TCELL
chr20,5589813,5589897,85,-,454,LS-8,pin26,4,hg38,LS-8-0,D-1,-1,-0,chr20-5589897,TRUE,GPCPD1,-,FALSE,TRUE,0,PCNA,-463274,-,None.found,Inf,None.found,TCELL
chr5,6024930,6025273,344,-,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr5-6025273,FALSE,LINC02145,-,FALSE,TRUE,285166,SLC6A3,-4579844,-,TLX3,-165284009,+,TCELL
chr19,6057717,6057945,229,-,454,LS-8,pin26,5,hg38,LS-8-0,D-1,-1,-0,chr19-6057945,TRUE,RFX2,-,FALSE,TRUE,0,RFX2,0,-,TCF3,-4405615,-,TCELL
chr19,6059911,6060404,494,-,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chr19-6060404,TRUE,RFX2,-,FALSE,TRUE,0,RFX2,0,-,TCF3,-4408074,-,TCELL
chr5,6267114,6267147,34,+,454,LS-8,pin26,5,hg38,LS-8-0,D-1,-1,-0,chr5+6267114,FALSE,LINC02145,-,FALSE,FALSE,43325,CTNND2,4704724,-,TLX3,-165042168,+,TCELL
chr2,6432020,6432081,62,+,454,LS-8,pin26,14,hg38,LS-8-0,D-1,-1,-0,chr2+6432020,FALSE,LINC01247,-,FALSE,FALSE,-56597,SOX11,730634,+,BCL11A,54019145,-,TCELL
chr12,6494472,6494646,175,-,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chr12-6494646,TRUE,NCAPD2,+,FALSE,FALSE,0,NCAPD2,0,+,CCND2,2189289,+,TCELL
chr12,6494540,6494646,107,-,454,LS-8,pin26,8,hg38,LS-8-0,D-1,-1,-0,chr12-6494646,TRUE,NCAPD2,+,FALSE,FALSE,0,NCAPD2,0,+,CCND2,2189289,+,TCELL
chr10,6588393,6588457,65,+,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr10+6588393,FALSE,PRKCQ-AS1,+,FALSE,TRUE,3031,IL2RA,-526022,-,KLF6,-2803111,-,TCELL
chr11,6645955,6646135,181,+,454,LS-8,pin26,14,hg38,LS-8-0,D-1,-1,-0,chr11+6645955,TRUE,DCHS1,-,FALSE,FALSE,0,EIF3F,-1341363,+,LMO1,1578347,-,TCELL
chr6,6856105,6856388,284,-,454,LS-8,pin26,17,hg38,LS-8-0,D-1,-1,-0,chr6-6856388,FALSE,LY86,+,FALSE,FALSE,201404,RREB1,-251207,+,BRD2,-26112270,+,TCELL
chr17,7252796,7253031,236,+,454,LS-8,pin26,17,hg38,LS-8-0,D-1,-1,-0,chr17+7252796,TRUE,ELP5,+,TRUE,TRUE,0,ACAP1,-83731,+,None.found,Inf,None.found,TCELL
chr17,7252796,7253101,306,+,454,LS-8,pin26,22,hg38,LS-8-0,D-1,-1,-0,chr17+7252796,TRUE,ELP5,+,TRUE,TRUE,0,ACAP1,-83731,+,None.found,Inf,None.found,TCELL
chrY,7340437,7340582,146,-,454,LS-8,pin26,3,hg38,LS-8-0,D-1,-1,-0,chrY-7340582,TRUE,PRKY,+,FALSE,FALSE,-0,P2RY8,-5803437,-,None.found,Inf,None.found,TCELL
chr17,7549760,7549873,114,+,454,LS-8,pin26,1,hg38,LS-8-0,D-1,-1,-0,chr17+7549760,TRUE,"TNFSF12,TNFSF12-TNFSF13","+,+",FALSE,TRUE,-0,SHBG,-64302,+,None.found,Inf,None.found,TCELL
chr2,7588234,7588429,196,-,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr2-7588429,FALSE,LOC100506274,+,FALSE,FALSE,138174,ID2,-1093552,+,BCL11A,52862736,-,TCELL
chr4,7828077,7828108,32,-,454,LS-8,pin26,12,hg38,LS-8-0,D-1,-1,-0,chr4-7828108,TRUE,AFAP1,-,FALSE,TRUE,-0,S100P,1130937,+,RAP1GDS1,-90433266,+,TCELL
chr12,7962880,7962940,61,-,454,LS-8,pin26,9,hg38,LS-8-0,D-1,-1,-0,chr12-7962940,FALSE,SLC2A3,-,FALSE,TRUE,-26643,C3AR1,93902,-,CCND2,3657583,+,TCELL
chr4,7969855,7969961,107,+,454,LS-8,pin26,2,hg38,LS-8-0,D-1,-1,-0,chr4+7969855,TRUE,ABLIM2,-,FALSE,FALSE,-0,S100P,1272684,+,RAP1GDS1,-90291519,+,TCELL
