seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr4,64794,64997,204,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr4-64997,TRUE,ZNF595,+,FALSE,FALSE,0,GAK,784276,-,RAP1GDS1,-98196377,+,TCELL
chr5,215259,215460,202,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr5+215259,TRUE,CCDC127,-,FALSE,FALSE,0,PDCD6,-56360,+,TLX3,-171094023,+,TCELL
chr19,261538,261650,113,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr19-261650,FALSE,PLPP2,-,FALSE,TRUE,19388,CDC34,-270081,+,TCF3,1347632,-,TCELL
chr9,273588,273635,48,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9+273588,TRUE,DOCK8,+,FALSE,TRUE,0,JAK2,-4711496,+,JAK2,-4711496,+,TCELL
chr9,277013,277466,454,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9+277013,TRUE,DOCK8,+,FALSE,TRUE,0,JAK2,-4708071,+,JAK2,-4708071,+,TCELL
chr9,278241,278362,122,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr9+278241,TRUE,DOCK8,+,FALSE,TRUE,0,JAK2,-4706843,+,JAK2,-4706843,+,TCELL
chr11,309006,309442,437,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr11+309006,TRUE,IFITM2,+,FALSE,TRUE,-0,PGGHG,13317,+,NUP98,3366002,-,TCELL
chr11,312890,313062,173,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr11-313062,FALSE,IFITM1,+,FALSE,FALSE,-927,PGGHG,17373,+,NUP98,3361946,-,TCELL
chr6,337330,337399,70,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr6+337330,TRUE,DUSP22,+,FALSE,TRUE,-0,IRF4,-54407,+,BRD2,-32631328,+,TCELL
chr5,374485,374898,414,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr5+374485,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,59510,+,TLX3,-170934797,+,TCELL
chr5,378923,379249,327,-,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr5-379249,TRUE,AHRR,+,FALSE,FALSE,-0,PDCD6,64274,+,TLX3,-170930033,+,TCELL
chr17,412510,412548,39,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr17+412510,TRUE,"LOC105371430,C17orf97","-,+",FALSE,FALSE,0,FAM57A,-320034,+,None.found,Inf,None.found,TCELL
chr6,418449,418607,159,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr6-418607,FALSE,IRF4,+,FALSE,FALSE,7163,IRF4,7163,+,BRD2,-32550051,+,TCELL
chr6,422379,422442,64,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr6+422379,FALSE,IRF4,+,FALSE,TRUE,10935,IRF4,10935,+,BRD2,-32546279,+,TCELL
chr11,451574,451732,159,+,454,LS-10,pin30,7,hg38,LS-10-0,D-1,-1,-0,chr11+451574,TRUE,PTDSS2,+,FALSE,TRUE,0,HRAS,80666,-,NUP98,3223434,-,TCELL
chr5,458742,459119,378,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr5-459119,TRUE,EXOC3,+,FALSE,FALSE,-0,PDCD6,144144,+,TLX3,-170850163,+,TCELL
chr4,476839,476866,28,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr4+476839,TRUE,ZNF721,-,FALSE,FALSE,0,GAK,372434,-,RAP1GDS1,-97784535,+,TCELL
chr6,478628,478957,330,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr6+478628,FALSE,EXOC2,-,FALSE,FALSE,6508,IRF4,67184,+,BRD2,-32490030,+,TCELL
chr6,489747,490059,313,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr6-490059,TRUE,EXOC2,-,FALSE,TRUE,-0,IRF4,78615,+,BRD2,-32478599,+,TCELL
chr6,492153,492334,182,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr6-492334,TRUE,EXOC2,-,FALSE,TRUE,-0,IRF4,80890,+,BRD2,-32476324,+,TCELL
chr6,498775,499245,471,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr6-499245,TRUE,EXOC2,-,FALSE,TRUE,-0,IRF4,87801,+,BRD2,-32469413,+,TCELL
chr6,510212,510284,73,-,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr6-510284,TRUE,EXOC2,-,FALSE,TRUE,-0,IRF4,98840,+,BRD2,-32458374,+,TCELL
chr20,542822,542936,115,+,454,LS-10,pin30,6,hg38,LS-10-0,D-1,-1,-0,chr20+542822,TRUE,CSNK2A1,-,FALSE,FALSE,0,CSNK2A1,0,-,None.found,Inf,None.found,TCELL
chr6,559399,559596,198,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr6-559596,TRUE,EXOC2,-,FALSE,TRUE,-0,IRF4,148152,+,BRD2,-32409062,+,TCELL
chr17,560792,561000,209,+,454,LS-10,pin30,15,hg38,LS-10-0,D-1,-1,-0,chr17+560792,TRUE,VPS53,-,FALSE,FALSE,-0,FAM57A,-171752,+,None.found,Inf,None.found,TCELL
chr19,571135,571368,234,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr19+571135,FALSE,BSG,+,FALSE,TRUE,-140,CDC34,29047,+,TCF3,1038147,-,TCELL
chr7,604258,604326,69,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr7-604326,TRUE,"PRKAR1B,LOC101926963","-,+",FALSE,FALSE,-0,PDGFA,-84481,-,None.found,Inf,None.found,TCELL
chr7,617617,617932,316,+,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr7+617617,TRUE,PRKAR1B,-,FALSE,FALSE,-0,PDGFA,-97772,-,None.found,Inf,None.found,TCELL
chr18,667370,667606,237,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr18-667606,TRUE,TYMS,+,FALSE,FALSE,-0,YES1,53984,-,BCL2,62455738,-,TCELL
chr12,673702,673994,293,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12+673702,FALSE,NINJ2,-,FALSE,FALSE,-9960,RAD52,238032,-,CCND2,-3600032,+,TCELL
chr6,685027,685254,228,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr6-685254,TRUE,EXOC2,-,FALSE,TRUE,0,IRF4,273810,+,BRD2,-32283404,+,TCELL
chr11,697907,698100,194,+,454,LS-10,pin30,9,hg38,LS-10-0,D-1,-1,-0,chr11+697907,TRUE,TMEM80,+,FALSE,TRUE,0,CD151,-135043,+,NUP98,2977101,-,TCELL
chr12,723020,723049,30,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr12-723049,FALSE,WNK1,+,FALSE,FALSE,-29872,RAD52,188685,-,CCND2,-3550685,+,TCELL
chr18,813966,814008,43,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr18-814008,FALSE,YES1,-,FALSE,TRUE,-1681,YES1,-1681,-,BCL2,62309336,-,TCELL
chr20,855683,856073,391,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr20+855683,FALSE,FAM110A,+,FALSE,TRUE,9403,CSNK2A1,-311844,-,None.found,Inf,None.found,TCELL
chr9,877213,877330,118,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr9-877330,TRUE,DMRT1,+,FALSE,FALSE,0,JAK2,-4107754,+,JAK2,-4107754,+,TCELL
chr12,890290,890386,97,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12-890386,TRUE,WNK1,+,FALSE,FALSE,-0,RAD52,21348,-,CCND2,-3383348,+,TCELL
chr5,893591,893770,180,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr5+893591,TRUE,TRIP13,+,FALSE,TRUE,0,TERT,359574,-,TLX3,-170415691,+,TCELL
chr12,947030,947268,239,-,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr12-947268,TRUE,RAD52,-,FALSE,TRUE,-0,RAD52,-0,-,CCND2,-3326466,+,TCELL
chr10,987783,987868,86,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr10+987783,FALSE,GTPBP4,+,FALSE,TRUE,-624,ADARB2,189528,-,KLF6,2788211,-,TCELL
chr20,1118268,1118324,57,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr20+1118268,TRUE,"PSMF1,LOC105372493","+,-",FALSE,FALSE,-0,CSNK2A1,-574429,-,None.found,Inf,None.found,TCELL
chr1,1218216,1218681,466,-,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr1-1218681,TRUE,SDF4,-,FALSE,TRUE,-0,MIB2,-396732,+,LCK,-31032556,+,TCELL
chr12,1239046,1239223,178,+,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr12+1239046,TRUE,ERC1,+,FALSE,TRUE,0,ERC1,0,+,CCND2,-3034688,+,TCELL
chr5,1315448,1315640,193,-,454,LS-10,pin30,4,hg38,LS-10-0,D-1,-1,-0,chr5-1315640,FALSE,CLPTM1L,-,FALSE,TRUE,2102,TERT,-20592,-,TLX3,-169993642,+,TCELL
chr16,1413719,1413784,66,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr16-1413784,TRUE,UNKL,-,FALSE,TRUE,0,NME3,356534,-,None.found,Inf,None.found,TCELL
chr4,1514027,1514110,84,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr4-1514110,FALSE,NKX1-1,-,FALSE,TRUE,-107667,TACC3,-207378,+,RAP1GDS1,-96747264,+,TCELL
chr20,1669621,1669861,241,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr20-1669861,FALSE,SIRPG,-,FALSE,TRUE,-12081,CSNK2A1,-1126022,-,None.found,Inf,None.found,TCELL
chr20,1673898,1673947,50,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr20-1673947,FALSE,SIRPG,-,FALSE,TRUE,-16167,CSNK2A1,-1130108,-,None.found,Inf,None.found,TCELL
chr17,1763886,1764020,135,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr17-1764020,TRUE,SERPINF1,+,FALSE,FALSE,0,TLCD2,-53651,-,None.found,Inf,None.found,TCELL
chr5,1794351,1794534,184,+,454,LS-10,pin30,5,hg38,LS-10-0,D-1,-1,-0,chr5+1794351,FALSE,MRPL36,-,FALSE,FALSE,4032,SLC6A3,-348922,-,TLX3,-169514931,+,TCELL
chr1,1824244,1824351,108,-,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr1-1824351,TRUE,GNB1,-,FALSE,TRUE,-0,CDK11A,-99785,-,LCK,-30426886,+,TCELL
chr12,2018079,2018346,268,-,454,LS-10,pin30,7,hg38,LS-10-0,D-1,-1,-0,chr12-2018346,FALSE,DCP1B,-,FALSE,TRUE,-13810,ERC1,522412,+,CCND2,-2255388,+,TCELL
chr11,2079253,2079383,131,+,454,LS-10,pin30,3,hg38,LS-10-0,D-1,-1,-0,chr11+2079253,FALSE,"IGF2,INS-IGF2","-,-",FALSE,FALSE,49857,IGF2,49857,-,NUP98,1595755,-,TCELL
chr17,2089862,2089945,84,-,454,LS-10,pin30,2,hg38,LS-10-0,D-1,-1,-0,chr17-2089945,TRUE,SMG6,-,FALSE,TRUE,-0,SMG6,-0,-,None.found,Inf,None.found,TCELL
chr8,2129036,2129266,231,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr8+2129036,TRUE,MYOM2,+,FALSE,TRUE,-0,ERICH1,-1397796,-,MYC,-125606396,+,TCELL
chr17,2263755,2263894,140,+,454,LS-10,pin30,1,hg38,LS-10-0,D-1,-1,-0,chr17+2263755,TRUE,SMG6,-,FALSE,FALSE,0,SMG6,0,-,None.found,Inf,None.found,TCELL
