cellType,timePoint,dataSource,posidLabel,totalCells,timePointDays,relAbund,patient
PBMC,D1,Illumina,LowAbund,59,1,100,pin30
PBMC,W2,Illumina,LowAbund,195,14,96.92307692307692,pin30
PBMC,W2,Illumina,"P2RX7 ~
chr12-121125291",195,14,1.5384615384615385,pin30
PBMC,W2,Illumina,"IRAK2 *~
chr3+10229792",195,14,1.5384615384615385,pin30
PBMC,W8,Illumina,LowAbund,156,56,96.15384615384616,pin30
PBMC,W8,Illumina,"LOC105369747 
chr12-47301139",156,56,1.9230769230769231,pin30
PBMC,W8,Illumina,"CSF2 ~
chr5+132069219",156,56,1.9230769230769231,pin30
PBMC,Y15,Illumina,LowAbund,169,5475,92.57142857142857,pin30
PBMC,Y15,Illumina,"CUBN *~
chr10+17027750",169,5475,3.428571428571429,pin30
PBMC,Y15,Illumina,"KIT ~
chr4+54746119",169,5475,2.2857142857142856,pin30
PBMC,Y15,Illumina,"HIST2H2BA *
chr1+121115172",169,5475,1.7142857142857144,pin30
PBMC,Y4,Illumina,LowAbund,190,1460,98.21428571428571,pin30
PBMC,Y4,Illumina,"PRKAR1B *
chr7-587018",190,1460,1.7857142857142856,pin30
PBMC,Y8,Illumina,LowAbund,166,2920,96.55172413793103,pin30
PBMC,Y8,Illumina,"IL2RA ~
chr10+6073005",166,2920,1.7241379310344827,pin30
PBMC,Y8,Illumina,"RXRA 
chr9-134457224",166,2920,1.7241379310344827,pin30
TCELL,D-1,454,LowAbund,2635,-1,99.8073217726397,pin30
TCELL,D-1,454,"VCAM1 
chr1-100712528",2635,-1,0.012845215157353885,pin30
TCELL,D-1,454,"LINC01307 
chr1-101293029",2635,-1,0.05138086062941554,pin30
TCELL,D-1,454,"EPS8L3 
chr1-109823839",2635,-1,0.012845215157353885,pin30
TCELL,D-1,454,"CSF1 ~
chr1-109905932",2635,-1,0.012845215157353885,pin30
TCELL,D-1,454,"KCNC4 *
chr1-110214463",2635,-1,0.012845215157353885,pin30
TCELL,D-1,454,"CD53 *~
chr1-110879710",2635,-1,0.03853564547206166,pin30
TCELL,D-1,454,"DENND2D 
chr1-111214105",2635,-1,0.05138086062941554,pin30
TCELL,M2,454,LowAbund,69,61,100,pin30
TCELL,Y8,454,LowAbund,20,2920,49.25982644206228,pin30
TCELL,Y8,454,"PSAP *~
chr10-71850541",20,2920,1.582440020418581,pin30
TCELL,Y8,454,"LOC102724467 *
chr16-87774229",20,2920,2.5523226135783563,pin30
TCELL,Y8,454,"KCNS2 
chr8-98363806",20,2920,46.60541092394079,pin30
