seqnames,start,end,width,strand,cellType,dataSource,GTSP,patient,reads,refGenome,timePoint,timePointDays,timePointMonths,posid,estAbund,relAbund,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,readsPerSample,readsRelAbund,totalSampleFrags,include,labeledNearestFeature,posidLabel
chr1,100712528,100712528,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-100712528,1,0.012845215157353885,FALSE,VCAM1,+,FALSE,FALSE,-7110,COL11A1,2163937,-,STIL,-53398380,-,7785,0.012845215157353885,2635,yes,VCAM1 ,"VCAM1 
chr1-100712528"
chr1,101293029,101293029,1,-,TCELL,454,LS-10,pin30,4,hg38,D-1,-1,-0,chr1-101293029,1,0.05138086062941554,FALSE,LINC01307,+,FALSE,FALSE,-30806,COL11A1,1583436,-,STIL,-53978881,-,7785,0.05138086062941554,2635,yes,LINC01307 ,"LINC01307 
chr1-101293029"
chr1,109823839,109823839,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-109823839,1,0.012845215157353885,FALSE,EPS8L3,-,FALSE,TRUE,-59816,CSF1,-86770,+,PBX1,-54735519,+,7785,0.012845215157353885,2635,yes,EPS8L3 ,"EPS8L3 
chr1-109823839"
chr1,109905932,109905932,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-109905932,1,0.012845215157353885,FALSE,CSF1,+,FALSE,FALSE,-4677,CSF1,-4677,+,PBX1,-54653426,+,7785,0.012845215157353885,2635,yes,CSF1 ~,"CSF1 ~
chr1-109905932"
chr1,110214463,110214463,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-110214463,1,0.012845215157353885,TRUE,KCNC4,+,FALSE,FALSE,0,RBM15,-124858,+,PBX1,-54344895,+,7785,0.012845215157353885,2635,yes,KCNC4 *,"KCNC4 *
chr1-110214463"
chr1,110879710,110879710,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-110879710,1,0.03853564547206166,TRUE,CD53,+,FALSE,FALSE,0,CD53,0,+,PBX1,-53679648,+,7785,0.03853564547206166,2635,yes,CD53 *~,"CD53 *~
chr1-110879710"
chr1,111214105,111214105,1,-,TCELL,454,LS-10,pin30,4,hg38,D-1,-1,-0,chr1-111214105,1,0.05138086062941554,FALSE,DENND2D,-,FALSE,TRUE,-9566,WDR77,225783,-,PBX1,-53345253,+,7785,0.05138086062941554,2635,yes,DENND2D ,"DENND2D 
chr1-111214105"
chr1,11144401,11144401,1,-,TCELL,454,LS-10,pin30,9,hg38,D-1,-1,-0,chr1-11144401,1,0.11560693641618498,TRUE,"MTOR,MTOR-AS1","-,+",FALSE,FALSE,-0,MTOR,-0,-,LCK,-21106836,+,7785,0.11560693641618498,2635,yes,"MTOR,MTOR-AS1 *~","MTOR,MTOR-AS1 *~
chr1-11144401"
chr1,111592531,111592531,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-111592531,1,0.03853564547206166,FALSE,LINC01160,-,FALSE,TRUE,6474,RAP1A,-27250,+,PBX1,-52966827,+,7785,0.03853564547206166,2635,yes,LINC01160 ~,"LINC01160 ~
chr1-111592531"
chr1,113869359,113869359,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-113869359,1,0.012845215157353885,TRUE,"AP4B1-AS1,PTPN22","+,-",FALSE,FALSE,0,TRIM33,523416,-,PBX1,-50689999,+,7785,0.012845215157353885,2635,yes,"AP4B1-AS1,PTPN22 *","AP4B1-AS1,PTPN22 *
chr1-113869359"
chr1,116755503,116755503,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-116755503,1,0.012845215157353885,TRUE,CD2,+,FALSE,FALSE,0,VTCN1,388082,-,PBX1,-47803855,+,7785,0.012845215157353885,2635,yes,CD2 *,"CD2 *
chr1-116755503"
chr1,116811094,116811094,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-116811094,1,0.03853564547206166,FALSE,CD2,+,FALSE,FALSE,41864,VTCN1,332491,-,PBX1,-47748264,+,7785,0.03853564547206166,2635,yes,CD2 ,"CD2 
chr1-116811094"
chr1,117390943,117390943,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-117390943,1,0.012845215157353885,TRUE,MAN1A2,+,FALSE,FALSE,0,VTCN1,-179982,-,PBX1,-47168415,+,7785,0.012845215157353885,2635,yes,MAN1A2 *,"MAN1A2 *
chr1-117390943"
chr1,119797805,119797805,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-119797805,1,0.03853564547206166,TRUE,REG4,-,FALSE,TRUE,-0,REG4,-0,-,PBX1,-44761553,+,7785,0.03853564547206166,2635,yes,REG4 *~,"REG4 *~
chr1-119797805"
chr1,119800303,119800303,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-119800303,1,0.012845215157353885,TRUE,REG4,-,FALSE,TRUE,-0,REG4,-0,-,PBX1,-44759055,+,7785,0.012845215157353885,2635,yes,REG4 *~,"REG4 *~
chr1-119800303"
chr1,12163074,12163074,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-12163074,1,0.012845215157353885,FALSE,MIR7846,+,FALSE,FALSE,-3867,TNFRSF1B,-3927,+,LCK,-20088163,+,7785,0.012845215157353885,2635,yes,MIR7846 ~,"MIR7846 ~
chr1-12163074"
chr1,1218681,1218681,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-1218681,1,0.03853564547206166,TRUE,SDF4,-,FALSE,TRUE,-0,MIB2,-396732,+,LCK,-31032556,+,7785,0.03853564547206166,2635,yes,SDF4 *,"SDF4 *
chr1-1218681"
chr1,12204871,12204871,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-12204871,1,0.012845215157353885,TRUE,TNFRSF1B,+,FALSE,FALSE,-0,TNFRSF1B,-0,+,LCK,-20046366,+,7785,0.012845215157353885,2635,yes,TNFRSF1B *~,"TNFRSF1B *~
chr1-12204871"
chr1,12435187,12435187,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-12435187,1,0.012845215157353885,TRUE,VPS13D,+,FALSE,FALSE,-0,DHRS3,132721,-,LCK,-19816050,+,7785,0.012845215157353885,2635,yes,VPS13D *,"VPS13D *
chr1-12435187"
chr1,12511629,12511629,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-12511629,1,0.012845215157353885,TRUE,VPS13D,+,TRUE,FALSE,-0,DHRS3,56279,-,LCK,-19739608,+,7785,0.012845215157353885,2635,yes,VPS13D *,"VPS13D *
chr1-12511629"
chr1,13732061,13732061,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-13732061,1,0.012845215157353885,TRUE,PRDM2,+,FALSE,FALSE,0,PRDM2,0,+,LCK,-18519176,+,7785,0.012845215157353885,2635,yes,PRDM2 *~,"PRDM2 *~
chr1-13732061"
chr1,147168547,147168547,1,-,TCELL,454,LS-10,pin30,2,hg38,D-1,-1,-0,chr1-147168547,1,0.02569043031470777,TRUE,PRKAB2,-,FALSE,TRUE,0,BCL9,-372952,+,PBX1,-17390811,+,7785,0.02569043031470777,2635,yes,PRKAB2 *,"PRKAB2 *
chr1-147168547"
chr1,149740828,149740828,1,-,TCELL,454,LS-10,pin30,2,hg38,D-1,-1,-0,chr1-149740828,1,0.02569043031470777,FALSE,FAM231D,+,FALSE,FALSE,35152,APH1A,524569,-,PBX1,-14818530,+,7785,0.02569043031470777,2635,yes,FAM231D ,"FAM231D 
chr1-149740828"
chr1,150615352,150615352,1,-,TCELL,454,LS-10,pin30,4,hg38,D-1,-1,-0,chr1-150615352,1,0.05138086062941554,FALSE,ENSA,-,FALSE,TRUE,6769,MCL1,-35613,-,PBX1,-13944006,+,7785,0.05138086062941554,2635,yes,ENSA ~,"ENSA ~
chr1-150615352"
chr1,151326877,151326877,1,-,TCELL,454,LS-10,pin30,4,hg38,D-1,-1,-0,chr1-151326877,1,0.05138086062941554,TRUE,PI4KB,-,FALSE,TRUE,0,RFX5,13761,-,PBX1,-13232481,+,7785,0.05138086062941554,2635,yes,PI4KB *~,"PI4KB *~
chr1-151326877"
chr1,153944624,153944624,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-153944624,1,0.03853564547206166,TRUE,DENND4B,-,FALSE,TRUE,0,CRTC2,3046,-,PBX1,-10614734,+,7785,0.03853564547206166,2635,yes,DENND4B *~,"DENND4B *~
chr1-153944624"
chr1,153977489,153977489,1,-,TCELL,454,LS-10,pin30,2,hg38,D-1,-1,-0,chr1-153977489,1,0.02569043031470777,TRUE,JTB,-,TRUE,TRUE,0,CRTC2,-18832,-,PBX1,-10581869,+,7785,0.02569043031470777,2635,yes,JTB *~,"JTB *~
chr1-153977489"
chr1,154420917,154420917,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-154420917,1,0.012845215157353885,TRUE,IL6R,+,FALSE,FALSE,0,TPM3,-228781,-,PBX1,-10138441,+,7785,0.012845215157353885,2635,yes,IL6R *,"IL6R *
chr1-154420917"
chr1,156156263,156156263,1,-,TCELL,454,LS-10,pin30,5,hg38,D-1,-1,-0,chr1-156156263,1,0.06422607578676942,TRUE,SEMA4A,+,FALSE,FALSE,0,ARHGEF2,-176702,-,PBX1,-8403095,+,7785,0.06422607578676942,2635,yes,SEMA4A *,"SEMA4A *
chr1-156156263"
chr1,156225965,156225965,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-156225965,1,0.012845215157353885,TRUE,"PMF1,PMF1-BGLAP","+,+",FALSE,FALSE,-0,RHBG,-143222,+,PBX1,-8333393,+,7785,0.012845215157353885,2635,yes,"PMF1,PMF1-BGLAP *","PMF1,PMF1-BGLAP *
chr1-156225965"
chr1,157696642,157696642,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-157696642,1,0.03853564547206166,TRUE,FCRL3,-,FALSE,TRUE,0,FCRL4,-98561,-,PBX1,-6862716,+,7785,0.03853564547206166,2635,yes,FCRL3 *,"FCRL3 *
chr1-157696642"
chr1,157830124,157830124,1,-,TCELL,454,LS-10,pin30,2,hg38,D-1,-1,-0,chr1-157830124,1,0.02569043031470777,TRUE,CD5L,-,FALSE,TRUE,-0,FCRL4,-232043,-,PBX1,-6729234,+,7785,0.02569043031470777,2635,yes,CD5L *,"CD5L *
chr1-157830124"
chr1,15956048,15956048,1,-,TCELL,454,LS-10,pin30,3,hg38,D-1,-1,-0,chr1-15956048,1,0.03853564547206166,TRUE,ZBTB17,-,FALSE,TRUE,-0,EPHA2,168287,-,LCK,-16295189,+,7785,0.03853564547206166,2635,yes,ZBTB17 *,"ZBTB17 *
chr1-15956048"
chr1,159914881,159914881,1,-,TCELL,454,LS-10,pin30,7,hg38,D-1,-1,-0,chr1-159914881,1,0.0899165061014772,FALSE,TAGLN2,-,FALSE,TRUE,3224,IGSF8,176456,-,PBX1,-4644477,+,7785,0.0899165061014772,2635,yes,TAGLN2 ,"TAGLN2 
chr1-159914881"
chr1,160461335,160461335,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-160461335,1,0.012845215157353885,FALSE,SLAMF6,-,FALSE,TRUE,23693,SLAMF6,23693,-,PBX1,-4098023,+,7785,0.012845215157353885,2635,yes,SLAMF6 ~,"SLAMF6 ~
chr1-160461335"
chr1,160628847,160628847,1,-,TCELL,454,LS-10,pin30,5,hg38,D-1,-1,-0,chr1-160628847,1,0.06422607578676942,TRUE,SLAMF1,-,FALSE,TRUE,0,SLAMF6,-105584,-,PBX1,-3930511,+,7785,0.06422607578676942,2635,yes,SLAMF1 *,"SLAMF1 *
chr1-160628847"
chr1,160743695,160743695,1,-,TCELL,454,LS-10,pin30,4,hg38,D-1,-1,-0,chr1-160743695,1,0.05138086062941554,TRUE,SLAMF7,+,FALSE,FALSE,0,SLAMF6,-220432,-,PBX1,-3815663,+,7785,0.05138086062941554,2635,yes,SLAMF7 *,"SLAMF7 *
chr1-160743695"
chr1,160744528,160744528,1,-,TCELL,454,LS-10,pin30,1,hg38,D-1,-1,-0,chr1-160744528,1,0.012845215157353885,TRUE,SLAMF7,+,FALSE,FALSE,0,SLAMF6,-221265,-,PBX1,-3814830,+,7785,0.012845215157353885,2635,yes,SLAMF7 *,"SLAMF7 *
chr1-160744528"
